tx_est_id;mes;ano;linkou;payment_bill_card;pos;emission_bill;linkou_pix;pos_pix;tef
204;3;2021;0;0;1;0;0;0;0
204;2;2021;0;0;1;0;0;0;0
204;1;2021;0;0;1;0;0;0;0
230;1;2021;0;0;1;0;0;0;0
251;1;2021;0;0;1;0;0;0;0
251;2;2021;0;0;1;0;0;0;0
280;5;2021;0;0;1;0;0;0;0
280;3;2021;0;0;1;0;0;0;0
280;6;2021;0;0;1;0;0;0;0
280;4;2021;0;0;1;0;0;0;0
301;5;2021;1;0;0;0;0;0;0
301;5;2021;0;0;1;0;0;0;0
301;8;2021;0;0;1;0;0;0;0
301;7;2021;0;0;1;0;0;0;0
301;3;2021;0;0;1;0;0;0;0
301;3;2021;1;0;0;0;0;0;0
301;2;2021;0;0;1;0;0;0;0
301;4;2021;0;0;1;0;0;0;0
301;6;2021;0;0;1;0;0;0;0
301;1;2021;1;0;0;0;0;0;0
301;7;2021;1;0;0;0;0;0;0
301;4;2021;1;0;0;0;0;0;0
301;1;2021;0;0;1;0;0;0;0
311;1;2021;0;0;1;0;0;0;0
311;2;2021;0;0;1;0;0;0;0
311;1;2021;1;0;0;0;0;0;0
311;2;2021;1;0;0;0;0;0;0
311;3;2021;0;0;1;0;0;0;0
326;10;2021;0;0;1;0;0;0;0
326;11;2021;0;0;1;0;0;0;0
326;3;2021;0;0;1;0;0;0;0
326;1;2021;0;0;1;0;0;0;0
326;12;2021;0;0;1;0;0;0;0
326;7;2021;0;0;1;0;0;0;0
326;4;2021;0;0;1;0;0;0;0
326;2;2021;0;0;1;0;0;0;0
326;9;2021;0;0;1;0;0;0;0
326;8;2021;0;0;1;0;0;0;0
331;1;2021;0;0;1;0;0;0;0
331;4;2021;0;0;1;0;0;0;0
331;3;2021;0;0;1;0;0;0;0
331;6;2021;0;0;1;0;0;0;0
331;2;2021;0;0;1;0;0;0;0
331;5;2021;0;0;1;0;0;0;0
335;4;2021;0;0;1;0;0;0;0
335;2;2021;1;0;0;0;0;0;0
335;4;2021;1;0;0;0;0;0;0
335;3;2021;0;0;1;0;0;0;0
335;9;2021;0;0;1;0;0;0;0
335;2;2021;0;0;1;0;0;0;0
335;6;2021;0;0;1;0;0;0;0
335;10;2021;0;0;1;0;0;0;0
335;3;2021;1;0;0;0;0;0;0
335;8;2021;0;0;1;0;0;0;0
335;1;2021;0;0;1;0;0;0;0
335;5;2021;1;0;0;0;0;0;0
335;5;2021;0;0;1;0;0;0;0
335;7;2021;0;0;1;0;0;0;0
368;11;2021;0;0;1;0;0;0;0
368;9;2021;0;0;1;0;0;0;0
368;7;2021;0;0;1;0;0;0;0
368;10;2021;0;0;1;0;0;0;0
368;6;2021;0;0;1;0;0;0;0
368;4;2021;0;0;1;0;0;0;0
368;12;2021;0;0;1;0;0;0;0
368;5;2021;0;0;1;0;0;0;0
368;1;2021;0;0;1;0;0;0;0
368;2;2021;0;0;1;0;0;0;0
368;8;2021;0;0;1;0;0;0;0
381;5;2021;0;0;1;0;0;0;0
381;4;2021;0;0;1;0;0;0;0
381;1;2021;0;0;1;0;0;0;0
381;3;2021;0;0;1;0;0;0;0
381;6;2021;0;0;1;0;0;0;0
381;7;2021;0;0;1;0;0;0;0
381;2;2021;0;0;1;0;0;0;0
385;10;2021;0;0;1;0;0;0;0
385;9;2021;0;0;1;0;0;0;0
385;5;2021;0;0;1;0;0;0;0
385;4;2021;0;0;1;0;0;0;0
385;6;2021;0;0;1;0;0;0;0
385;2;2021;0;0;1;0;0;0;0
385;7;2021;0;0;1;0;0;0;0
385;8;2021;0;0;1;0;0;0;0
385;1;2021;0;0;1;0;0;0;0
385;3;2021;0;0;1;0;0;0;0
395;4;2021;0;0;1;0;0;0;0
395;3;2021;0;0;1;0;0;0;0
395;5;2021;0;0;1;0;0;0;0
395;1;2021;0;0;1;0;0;0;0
395;7;2021;0;0;1;0;0;0;0
395;2;2021;0;0;1;0;0;0;0
395;6;2021;0;0;1;0;0;0;0
397;10;2021;0;0;1;0;0;0;0
397;1;2021;0;0;1;0;0;0;0
397;9;2021;0;0;1;0;0;0;0
397;8;2021;0;0;1;0;0;0;0
397;11;2021;0;0;1;0;0;0;0
470;1;2021;1;0;0;0;0;0;0
470;3;2021;0;0;1;0;0;0;0
470;2;2021;0;0;1;0;0;0;0
470;4;2021;0;0;1;0;0;0;0
470;1;2021;0;0;1;0;0;0;0
471;4;2021;0;0;1;0;0;0;0
471;9;2021;0;0;1;0;0;0;0
471;3;2021;0;0;1;0;0;0;0
471;5;2021;0;0;1;0;0;0;0
471;6;2021;0;0;1;0;0;0;0
471;7;2021;0;0;1;0;0;0;0
471;8;2021;0;0;1;0;0;0;0
471;2;2021;0;0;1;0;0;0;0
471;1;2021;0;0;1;0;0;0;0
502;1;2021;0;0;1;0;0;0;0
541;2;2021;0;0;1;0;0;0;0
541;5;2021;0;0;1;0;0;0;0
567;4;2021;0;0;1;0;0;0;0
567;9;2021;0;0;1;0;0;0;0
567;3;2021;0;0;1;0;0;0;0
567;3;2021;1;0;0;0;0;0;0
567;9;2021;1;0;0;0;0;0;0
567;11;2021;1;0;0;0;0;0;0
567;6;2021;0;0;1;0;0;0;0
567;2;2021;0;0;1;0;0;0;0
567;7;2021;1;0;0;0;0;0;0
567;1;2021;0;0;1;0;0;0;0
567;10;2021;1;0;0;0;0;0;0
567;2;2021;1;0;0;0;0;0;0
567;5;2021;0;0;1;0;0;0;0
567;7;2021;0;0;1;0;0;0;0
608;6;2021;0;0;1;0;0;0;0
608;9;2021;0;0;1;0;0;0;0
608;1;2021;0;0;1;0;0;0;0
608;11;2021;0;0;1;0;0;0;0
608;10;2021;0;0;1;0;0;0;0
608;2;2021;0;0;1;0;0;0;0
608;4;2021;0;0;1;0;0;0;0
608;5;2021;0;0;1;0;0;0;0
608;3;2021;0;0;1;0;0;0;0
608;7;2021;0;0;1;0;0;0;0
635;2;2021;0;0;1;0;0;0;0
635;7;2021;0;0;1;0;0;0;0
635;1;2021;0;0;1;0;0;0;0
635;5;2021;0;0;1;0;0;0;0
635;3;2021;0;0;1;0;0;0;0
635;6;2021;0;0;1;0;0;0;0
635;4;2021;0;0;1;0;0;0;0
635;8;2021;0;0;1;0;0;0;0
713;9;2021;0;0;1;0;0;0;0
713;7;2021;0;0;1;0;0;0;0
713;4;2021;0;0;1;0;0;0;0
713;1;2021;0;0;1;0;0;0;0
713;2;2021;0;0;1;0;0;0;0
713;3;2021;0;0;1;0;0;0;0
728;9;2021;0;0;1;0;0;0;0
728;5;2021;0;0;1;0;0;0;0
728;10;2021;0;0;1;0;0;0;0
728;11;2021;0;0;1;0;0;0;0
728;7;2021;0;0;1;0;0;0;0
728;6;2021;0;0;1;0;0;0;0
728;1;2021;0;0;1;0;0;0;0
728;8;2021;0;0;1;0;0;0;0
868;8;2021;0;0;1;0;0;0;0
868;7;2021;0;0;1;0;0;0;0
868;3;2021;0;0;1;0;0;0;0
868;2;2021;0;0;1;0;0;0;0
868;1;2021;0;0;1;0;0;0;0
868;4;2021;0;0;1;0;0;0;0
868;5;2021;0;0;1;0;0;0;0
904;6;2021;0;0;1;0;0;0;0
904;4;2021;0;0;1;0;0;0;0
904;1;2021;0;0;1;0;0;0;0
904;3;2021;0;0;1;0;0;0;0
904;5;2021;0;0;1;0;0;0;0
904;2;2021;0;0;1;0;0;0;0
915;1;2021;0;0;1;0;0;0;0
915;4;2021;1;0;0;0;0;0;0
915;2;2021;0;0;1;0;0;0;0
915;3;2021;0;0;1;0;0;0;0
915;6;2021;1;0;0;0;0;0;0
915;3;2021;1;0;0;0;0;0;0
915;4;2021;0;0;1;0;0;0;0
915;2;2021;1;0;0;0;0;0;0
941;3;2021;0;0;1;0;0;0;0
941;7;2021;0;0;1;0;0;0;0
941;1;2021;0;0;1;0;0;0;0
941;4;2021;0;0;1;0;0;0;0
941;2;2021;0;0;1;0;0;0;0
941;5;2021;0;0;1;0;0;0;0
941;6;2021;0;0;1;0;0;0;0
1028;4;2021;0;0;1;0;0;0;0
1028;2;2021;0;0;1;0;0;0;0
1028;1;2021;0;0;1;0;0;0;0
1028;6;2021;0;0;1;0;0;0;0
1028;3;2021;0;0;1;0;0;0;0
1057;2;2021;0;0;1;0;0;0;0
1057;1;2021;0;0;1;0;0;0;0
1074;4;2021;0;0;1;0;0;0;0
1074;6;2021;0;0;1;0;0;0;0
1074;5;2021;0;0;1;0;0;0;0
1074;8;2021;0;0;1;0;0;0;0
1074;7;2021;0;0;1;0;0;0;0
1074;2;2021;0;0;1;0;0;0;0
1074;9;2021;0;0;1;0;0;0;0
1074;3;2021;0;0;1;0;0;0;0
1074;1;2021;0;0;1;0;0;0;0
1081;4;2021;0;0;1;0;0;0;0
1081;3;2021;0;0;1;0;0;0;0
1081;2;2021;0;0;1;0;0;0;0
1081;7;2021;0;0;1;0;0;0;0
1081;10;2021;0;0;1;0;0;0;0
1081;6;2021;0;0;1;0;0;0;0
1081;5;2021;0;0;1;0;0;0;0
1081;11;2021;0;0;1;0;0;0;0
1081;12;2021;0;0;1;0;0;0;0
1081;1;2021;0;0;1;0;0;0;0
1081;8;2021;0;0;1;0;0;0;0
1081;9;2021;0;0;1;0;0;0;0
1099;1;2021;0;0;1;0;0;0;0
1123;5;2021;0;0;1;0;0;0;0
1123;1;2021;0;0;1;0;0;0;0
1123;2;2021;0;0;1;0;0;0;0
1123;3;2021;0;0;1;0;0;0;0
1123;4;2021;0;0;1;0;0;0;0
1125;7;2021;0;0;1;0;0;0;0
1125;1;2021;1;0;0;0;0;0;0
1125;2;2021;0;0;1;0;0;0;0
1125;4;2021;0;0;1;0;0;0;0
1125;6;2021;0;0;1;0;0;0;0
1125;5;2021;0;0;1;0;0;0;0
1125;1;2021;0;0;1;0;0;0;0
1167;1;2021;0;0;1;0;0;0;0
1188;3;2021;0;0;1;0;0;0;0
1188;1;2021;0;0;1;0;0;0;0
1188;5;2021;0;0;1;0;0;0;0
1188;2;2021;0;0;1;0;0;0;0
1188;4;2021;0;0;1;0;0;0;0
1211;5;2021;0;0;1;0;0;0;0
1211;1;2021;0;0;1;0;0;0;0
1211;6;2021;0;0;1;0;0;0;0
1211;4;2021;0;0;1;0;0;0;0
1211;8;2021;0;0;1;0;0;0;0
1211;9;2021;0;0;1;0;0;0;0
1211;7;2021;0;0;1;0;0;0;0
