rec_est_id;rec_month;rec_month_part;rec_year_part;rec_month_mf_antecipated;rec_month_mf_not_antecipated;rec_month_mf;rec_previous_month_mf;rec_previous_month_mf_delta;rec_month_qtd_mov;rec_previous_month_qtd_mov;rec_previous_month_qtd_mov_delta;rec_month_ticket_medio;rec_monthly_category;rec_registered_month;tx_est_id;mes;emission_bill;linkou;linkou_pix;payment_bill_card;pos;pos_pix;tef;ano
8419;2021-02-01;2;2021;7460.0;0.0;7460.0;7916.0;-456.0;15;13;2;497.33;3;6.0;8419;2;0;0;0;0;1;0;0;2021
8419;2021-03-01;3;2021;8053.0;495.0;8548.0;7460.0;1088.0;13;15;-2;657.54;3;7.0;8419;3;0;0;0;0;1;0;0;2021
8419;2021-04-01;4;2021;5940.0;0.0;5940.0;8548.0;-2608.0;10;13;-3;594.0;3;8.0;8419;4;0;0;0;0;1;0;0;2021
8419;2021-05-01;5;2021;13046.0;0.0;13046.0;5940.0;7106.0;18;10;8;724.78;3;9.0;8419;5;0;0;0;0;1;0;0;2021
8419;2021-06-01;6;2021;2812.0;0.0;2812.0;13046.0;-10234.0;7;18;-11;401.71;3;10.0;8419;6;0;0;0;0;1;0;0;2021
8419;2021-07-01;7;2021;12618.8;0.0;12618.8;2812.0;9806.8;13;7;6;970.68;3;11.0;8419;7;0;0;0;0;1;0;0;2021
8432;2021-02-01;2;2021;11439.45;0.0;11439.45;12572.5;-1133.05;175;202;-27;65.37;3;6.0;8432;2;0;0;0;0;1;0;0;2021
8432;2021-03-01;3;2021;2437.0;0.0;2437.0;11439.45;-9002.45;36;175;-139;67.69;3;7.0;8432;3;0;0;0;0;1;0;0;2021
8432;2021-04-01;4;2021;2500.0;0.0;2500.0;2437.0;63.0;56;36;20;44.64;3;8.0;8432;4;0;0;0;0;1;0;0;2021
8432;2021-05-01;5;2021;4720.0;0.0;4720.0;2500.0;2220.0;75;56;19;62.93;3;9.0;8432;5;0;0;0;0;1;0;0;2021
8432;2021-06-01;6;2021;5337.08;0.0;5337.08;4720.0;617.08;80;75;5;66.71;3;10.0;8432;6;0;0;0;0;1;0;0;2021
8432;2021-07-01;7;2021;10557.32;0.0;10557.32;5337.08;5220.24;184;80;104;57.38;3;11.0;8432;7;0;0;0;0;1;0;0;2021
8432;2021-08-01;8;2021;344.0;0.0;344.0;10557.32;-10213.32;8;184;-176;43.0;3;12.0;8432;8;0;0;0;0;1;0;0;2021
8489;2022-01-01;1;2022;1350.01;0.0;1350.01;0.0;1350.01;2;0;2;675.01;5;17.0;8489;1;0;0;0;0;1;0;0;2022
8512;2021-02-01;2;2021;2285.0;0.0;2285.0;11400.0;-9115.0;7;40;-33;326.43;3;5.0;8512;2;0;0;0;0;1;0;0;2021
8512;2021-03-01;3;2021;4267.0;0.0;4267.0;2285.0;1982.0;9;7;2;474.11;3;6.0;8512;3;0;0;0;0;1;0;0;2021
8512;2021-04-01;4;2021;3645.0;0.0;3645.0;4267.0;-622.0;8;9;-1;455.63;3;7.0;8512;4;0;0;0;0;1;0;0;2021
8512;2021-06-01;6;2021;5505.0;0.0;5505.0;0.0;5505.0;13;0;13;423.46;5;9.0;8512;6;0;0;0;0;1;0;0;2021
8512;2021-07-01;7;2021;6978.0;0.0;6978.0;5505.0;1473.0;15;13;2;465.2;3;10.0;8512;7;0;0;0;0;1;0;0;2021
8512;2021-08-01;8;2021;3579.0;0.0;3579.0;6978.0;-3399.0;17;15;2;210.53;3;11.0;8512;8;0;0;0;0;1;0;0;2021
8512;2021-09-01;9;2021;5453.0;0.0;5453.0;3579.0;1874.0;20;17;3;272.65;3;12.0;8512;9;0;0;0;0;1;0;0;2021
8512;2021-10-01;10;2021;1284.0;0.0;1284.0;5453.0;-4169.0;10;20;-10;128.4;3;13.0;8512;10;0;0;0;0;1;0;0;2021
8513;2021-02-01;2;2021;1173.65;0.0;1173.65;1701.52;-527.87;17;25;-8;69.04;3;5.0;8513;2;0;0;0;0;1;0;0;2021
8513;2021-03-01;3;2021;1415.1;0.0;1415.1;1173.65;241.45;16;17;-1;88.44;3;6.0;8513;3;0;0;0;0;1;0;0;2021
8513;2021-04-01;4;2021;1616.76;0.0;1616.76;1415.1;201.66;15;16;-1;107.78;3;7.0;8513;4;0;0;0;0;1;0;0;2021
8513;2021-05-01;5;2021;2556.34;0.0;2556.34;1616.76;939.58;17;15;2;150.37;3;8.0;8513;5;0;0;0;0;1;0;0;2021
8513;2021-08-01;8;2021;40.0;0.0;40.0;0.0;40.0;1;0;1;40.0;5;11.0;8513;8;0;0;0;0;1;0;0;2021
8513;2021-09-01;9;2021;480.0;0.0;480.0;40.0;440.0;3;1;2;160.0;3;12.0;8513;9;0;0;0;0;1;0;0;2021
8639;2021-02-01;2;2021;1795.54;0.0;1795.54;2132.99;-337.45;69;64;5;26.02;3;5.0;8639;2;0;0;0;0;1;0;0;2021
8639;2021-03-01;3;2021;400.0;0.0;400.0;1795.54;-1395.54;14;69;-55;28.57;3;6.0;8639;3;0;0;0;0;1;0;0;2021
8639;2021-04-01;4;2021;703.1;0.0;703.1;400.0;303.1;31;14;17;22.68;3;7.0;8639;4;0;0;0;0;1;0;0;2021
8639;2021-05-01;5;2021;2542.32;0.0;2542.32;703.1;1839.22;54;31;23;47.08;3;8.0;8639;5;0;0;0;0;1;0;0;2021
8639;2021-06-01;6;2021;295.0;0.0;295.0;2542.32;-2247.32;8;54;-46;36.88;3;9.0;8639;6;0;0;0;0;1;0;0;2021
8641;2022-03-01;3;2022;1.0;0.0;1.0;0.0;1.0;1;0;1;1.0;5;18.0;8641;3;0;0;0;0;1;0;0;2022
8858;2021-02-01;2;2021;487.5;0.0;487.5;343.5;144.0;32;32;0;15.23;3;5.0;8858;2;0;0;0;0;1;0;0;2021
8858;2021-03-01;3;2021;499.5;0.0;499.5;487.5;12.0;12;32;-20;41.63;3;6.0;8858;3;0;0;0;0;1;0;0;2021
8858;2021-05-01;5;2021;233.0;0.0;233.0;0.0;233.0;1;0;1;233.0;5;8.0;8858;5;0;0;0;0;1;0;0;2021
8858;2021-06-01;6;2021;55.0;0.0;55.0;233.0;-178.0;1;1;0;55.0;3;9.0;8858;6;0;0;0;0;1;0;0;2021
8858;2021-07-01;7;2021;1080.0;0.0;1080.0;55.0;1025.0;1;1;0;1080.0;3;10.0;8858;7;0;0;0;0;1;0;0;2021
8858;2021-08-01;8;2021;338.0;0.0;338.0;1080.0;-742.0;2;1;1;169.0;3;11.0;8858;8;0;0;0;0;1;0;0;2021
8890;2022-01-01;1;2022;0.0;11638.4;11638.4;22255.97;-10617.57;2;4;-2;5819.2;3;16.0;8890;1;0;1;0;0;0;0;0;2022
8890;2022-02-01;2;2022;1270.0;0.0;1270.0;11638.4;-10368.4;2;2;0;635.0;3;17.0;8890;2;0;0;0;0;1;0;0;2022
8890;2022-09-01;9;2022;130.0;0.0;130.0;0.0;130.0;1;0;1;130.0;5;24.0;8890;9;0;0;0;0;1;0;0;2022
8890;2022-10-01;10;2022;1160.0;0.0;1160.0;130.0;1030.0;2;1;1;580.0;3;25.0;8890;10;0;0;0;0;1;0;0;2022
8959;2021-03-01;3;2021;10.0;0.0;10.0;0.0;10.0;1;0;1;10.0;5;6.0;8959;3;0;0;0;0;1;0;0;2021
