rec_est_id;rec_month_mf_antecipated;rec_month_mf_not_antecipated;rec_month_mf;rec_previous_month_mf;rec_previous_month_mf_delta;rec_month_qtd_mov;rec_previous_month_qtd_mov;rec_previous_month_qtd_mov_delta;rec_month_ticket_medio;rec_monthly_category;rec_registered_month;mes;emission_bill;linkou;linkou_pix;payment_bill_card;pos;pos_pix;tef;ano
120;4949.02;0.0;4949.02;5613.96;-664.94;55;69;-14;89.98;3;51.0;10;0;0;0;0;1;0;0;2022
120;2035.8;0.0;2035.8;4949.02;-2913.22;20;55;-35;101.79;3;52.0;11;0;0;0;0;1;0;0;2022
121;10681.0;0.0;10681.0;11824.4;-1143.4;84;87;-3;127.15;3;26.0;1;0;0;0;0;1;0;0;2022
275;3596.0;0.0;3596.0;9665.0;-6069.0;11;26;-15;326.91;3;41.0;1;0;0;0;0;1;0;0;2022
275;4857.5;0.0;4857.5;3596.0;1261.5;15;11;4;323.83;3;42.0;2;0;0;0;0;1;0;0;2022
276;25670.0;0.0;25670.0;69289.0;-43619.0;23;63;-40;1116.09;3;41.0;1;0;0;0;0;1;0;0;2022
276;22709.0;0.0;22709.0;25670.0;-2961.0;27;23;4;841.07;3;42.0;2;0;0;0;0;1;0;0;2022
276;30392.0;0.0;30392.0;22709.0;7683.0;30;27;3;1013.07;3;43.0;3;0;0;0;0;1;0;0;2022
276;54452.0;1050.0;55502.0;30392.0;25110.0;52;30;22;1067.35;3;44.0;4;0;1;0;0;1;0;0;2022
276;61988.0;0.0;61988.0;55502.0;6486.0;52;52;0;1192.08;3;45.0;5;0;0;0;0;1;0;0;2022
276;47660.0;0.0;47660.0;61988.0;-14328.0;28;52;-24;1702.14;3;46.0;6;0;0;0;0;1;0;0;2022
276;61710.0;0.0;61710.0;47660.0;14050.0;46;28;18;1341.52;3;47.0;7;0;0;0;0;1;0;0;2022
276;70485.0;0.0;70485.0;61710.0;8775.0;46;46;0;1532.28;3;48.0;8;0;0;0;0;1;0;0;2022
276;40070.0;0.0;40070.0;70485.0;-30415.0;30;46;-16;1335.67;3;49.0;9;0;0;0;0;1;0;0;2022
276;44730.0;0.0;44730.0;40070.0;4660.0;33;30;3;1355.45;3;50.0;10;0;0;0;0;1;0;0;2022
276;76376.0;0.0;76376.0;44730.0;31646.0;56;33;23;1363.86;3;51.0;11;0;0;0;0;1;0;0;2022
276;84572.0;0.0;84572.0;76376.0;8196.0;64;56;8;1321.44;3;52.0;12;0;0;0;0;1;0;0;2022
276;28990.0;0.0;28990.0;84572.0;-55582.0;25;64;-39;1159.6;3;53.0;1;0;0;0;0;1;0;0;2023
276;3040.0;0.0;3040.0;28990.0;-25950.0;3;25;-22;1013.33;3;54.0;2;0;0;0;0;1;0;0;2023
282;911.3;0.0;911.3;0.0;911.3;3;0;3;303.77;5;42.0;2;0;0;0;0;1;0;0;2022
299;11768.0;0.0;11768.0;21315.0;-9547.0;39;55;-16;301.74;3;41.0;1;0;0;0;0;1;0;0;2022
413;120.0;0.0;120.0;1930.0;-1810.0;2;11;-9;60.0;3;39.0;1;0;0;0;0;1;0;0;2022
414;6755.0;0.0;6755.0;4349.0;2406.0;6;7;-1;1125.83;3;39.0;1;0;0;0;0;1;0;0;2022
518;6942.74;0.0;6942.74;10388.45;-3445.71;35;45;-10;198.36;3;39.0;1;0;0;0;0;1;0;0;2022
518;8578.38;0.0;8578.38;6942.74;1635.64;40;35;5;214.46;3;40.0;2;0;0;0;0;1;0;0;2022
518;4635.24;0.0;4635.24;8578.38;-3943.14;24;40;-16;193.14;3;41.0;3;0;0;0;0;1;0;0;2022
518;5.0;0.0;5.0;0.0;5.0;1;0;1;5.0;5;43.0;5;0;0;0;0;1;0;0;2022
691;550.0;0.0;550.0;3960.0;-3410.0;5;12;-7;110.0;3;38.0;1;0;0;0;0;1;0;0;2022
691;1430.0;0.0;1430.0;550.0;880.0;5;5;0;286.0;3;39.0;2;0;0;0;0;1;0;0;2022
691;2950.0;0.0;2950.0;1430.0;1520.0;11;5;6;268.18;3;40.0;3;0;0;0;0;1;0;0;2022
691;2145.0;0.0;2145.0;2950.0;-805.0;5;11;-6;429.0;3;41.0;4;0;0;0;0;1;0;0;2022
691;1210.0;0.0;1210.0;2145.0;-935.0;4;5;-1;302.5;3;42.0;5;0;0;0;0;1;0;0;2022
691;510.0;0.0;510.0;1210.0;-700.0;4;4;0;127.5;3;43.0;6;0;0;0;0;1;0;0;2022
691;145.0;0.0;145.0;510.0;-365.0;2;4;-2;72.5;3;44.0;7;0;0;0;0;1;0;0;2022
691;870.0;0.0;870.0;0.0;870.0;3;0;3;290.0;5;46.0;9;0;0;0;0;1;0;0;2022
691;720.0;0.0;720.0;870.0;-150.0;1;3;-2;720.0;3;47.0;10;0;0;0;0;1;0;0;2022
732;24293.0;0.0;24293.0;53339.6;-29046.6;243;429;-186;99.97;3;38.0;1;0;0;0;0;1;0;0;2022
732;5373.0;0.0;5373.0;24293.0;-18920.0;55;243;-188;97.69;3;39.0;2;0;0;0;0;1;0;0;2022
862;4403.17;0.0;4403.17;2029.61;2373.56;146;60;86;30.16;3;38.0;1;0;0;0;0;1;0;0;2022
862;1737.58;0.0;1737.58;4403.17;-2665.59;26;146;-120;66.83;3;39.0;2;0;0;0;0;1;0;0;2022
870;12038.0;0.0;12038.0;8475.0;3563.0;12;12;0;1003.17;3;38.0;1;0;0;0;0;1;0;0;2022
870;7470.0;0.0;7470.0;12038.0;-4568.0;8;12;-4;933.75;3;39.0;2;0;0;0;0;1;0;0;2022
893;1348.0;0.0;1348.0;0.0;1348.0;8;0;8;168.5;5;38.0;1;0;0;0;0;1;0;0;2022
926;2340.0;0.0;2340.0;0.0;2340.0;1;0;1;2340.0;5;40.0;4;0;1;0;0;0;0;0;2022
926;22293.78;0.0;22293.78;0.0;22293.78;2;0;2;11146.89;5;42.0;6;0;1;0;0;0;0;0;2022
926;5000.0;0.0;5000.0;22293.78;-17293.78;1;2;-1;5000.0;3;43.0;7;0;1;0;0;0;0;0;2022
926;2000.0;0.0;2000.0;5000.0;-3000.0;1;1;0;2000.0;3;44.0;8;0;1;0;0;0;0;0;2022
926;1200.0;0.0;1200.0;2000.0;-800.0;1;1;0;1200.0;3;45.0;9;0;1;0;0;0;0;0;2022
926;12332.78;0.0;12332.78;0.0;12332.78;2;0;2;6166.39;5;47.0;11;0;1;0;0;0;0;0;2022
955;18636.0;0.0;18636.0;12281.0;6355.0;5;7;-2;3727.2;3;37.0;1;0;0;0;0;1;0;0;2022
1018;5227.5;0.0;5227.5;4789.0;438.5;31;33;-2;168.63;3;37.0;1;0;0;0;0;1;0;0;2022
1018;3417.0;0.0;3417.0;5227.5;-1810.5;22;31;-9;155.32;3;38.0;2;0;0;0;0;1;0;0;2022
1018;105.0;0.0;105.0;0.0;105.0;2;0;2;52.5;5;41.0;5;0;0;0;0;1;0;0;2022
1018;891.0;0.0;891.0;105.0;786.0;5;2;3;178.2;3;42.0;6;0;0;0;0;1;0;0;2022
1018;270.0;0.0;270.0;0.0;270.0;1;0;1;270.0;5;44.0;8;0;0;0;0;1;0;0;2022
1018;235.0;0.0;235.0;270.0;-35.0;2;1;1;117.5;3;45.0;9;0;0;0;0;1;0;0;2022
1032;26752.38;2333.87;29086.25;42204.6;-13118.35;40;52;-12;727.16;3;37.0;1;0;0;0;0;1;0;0;2022
1032;7256.08;15518.14;22774.22;29086.25;-6312.03;34;40;-6;669.83;3;38.0;2;0;0;0;0;1;0;0;2022
1032;0.0;638.5;638.5;22774.22;-22135.72;1;34;-33;638.5;3;39.0;3;0;0;0;0;1;0;0;2022
1032;0.0;1150.0;1150.0;638.5;511.5;2;1;1;575.0;3;40.0;4;0;0;0;0;1;0;0;2022
1032;0.0;25500.0;25500.0;0.0;25500.0;3;0;3;8500.0;5;42.0;6;0;0;0;0;1;0;0;2022
1032;0.0;397.66;397.66;0.0;397.66;1;0;1;397.66;5;44.0;8;0;0;0;0;1;0;0;2022
1032;0.0;1800.0;1800.0;397.66;1402.34;1;1;0;1800.0;3;45.0;9;0;0;0;0;1;0;0;2022
1122;110.0;0.0;110.0;0.0;110.0;1;0;1;110.0;5;37.0;2;0;0;0;0;1;0;0;2022
1193;10964.89;0.0;10964.89;12616.0;-1651.11;10;16;-6;1096.49;3;36.0;1;0;0;0;0;1;0;0;2022
1203;1500.0;0.0;1500.0;0.0;1500.0;1;0;1;1500.0;5;43.0;8;0;0;0;0;1;0;0;2022
1203;780.0;0.0;780.0;0.0;780.0;1;0;1;780.0;5;47.0;12;0;0;0;0;1;0;0;2022
1203;315.0;0.0;315.0;780.0;-465.0;1;1;0;315.0;3;48.0;1;0;0;0;0;1;0;0;2023
1222;609.0;0.0;609.0;813.4;-204.4;13;6;7;46.85;3;36.0;1;0;0;0;0;1;0;0;2022
1222;921.0;0.0;921.0;609.0;312.0;8;13;-5;115.13;3;37.0;2;0;0;0;0;1;0;0;2022
1222;45.0;0.0;45.0;0.0;45.0;1;0;1;45.0;5;39.0;4;0;0;0;0;1;0;0;2022
1224;1.0;0.0;1.0;0.0;1.0;1;0;1;1.0;5;41.0;6;0;0;0;0;1;0;0;2022
1344;83.5;0.0;83.5;355.0;-271.5;4;9;-5;20.88;3;35.0;1;0;0;0;0;1;0;0;2022
1344;97.0;0.0;97.0;83.5;13.5;1;4;-3;97.0;3;36.0;2;0;0;0;0;1;0;0;2022
1366;6370.5;0.0;6370.5;21243.0;-14872.5;19;36;-17;335.29;3;35.0;1;0;0;0;0;1;0;0;2022
1366;7490.0;0.0;7490.0;6370.5;1119.5;9;19;-10;832.22;3;36.0;2;0;0;0;0;1;0;0;2022
1366;0.0;14470.0;14470.0;7490.0;6980.0;17;9;8;851.18;3;37.0;3;0;0;0;0;1;0;0;2022
1366;0.0;42692.4;42692.4;14470.0;28222.4;47;17;30;908.35;3;38.0;4;0;0;0;0;1;0;0;2022
1366;0.0;37505.0;37505.0;42692.4;-5187.4;48;47;1;781.35;3;39.0;5;0;0;0;0;1;0;0;2022
1366;0.0;23010.0;23010.0;37505.0;-14495.0;35;48;-13;657.43;3;40.0;6;0;0;0;0;1;0;0;2022
1366;0.0;24810.5;24810.5;23010.0;1800.5;39;35;4;636.17;3;41.0;7;0;0;0;0;1;0;0;2022
1366;0.0;39970.0;39970.0;24810.5;15159.5;47;39;8;850.43;3;42.0;8;0;0;0;0;1;0;0;2022
1366;0.0;29398.0;29398.0;39970.0;-10572.0;45;47;-2;653.29;3;43.0;9;0;0;0;0;1;0;0;2022
1366;0.0;14452.0;14452.0;29398.0;-14946.0;33;45;-12;437.94;3;44.0;10;0;0;0;0;1;0;0;2022
1366;0.0;16205.0;16205.0;14452.0;1753.0;32;33;-1;506.41;3;45.0;11;0;0;0;0;1;0;0;2022
1366;0.0;28207.0;28207.0;16205.0;12002.0;32;32;0;881.47;3;46.0;12;0;0;0;0;1;0;0;2022
1366;0.0;44618.0;44618.0;28207.0;16411.0;50;32;18;892.36;3;47.0;1;0;0;0;0;1;0;0;2023
1366;0.0;468.0;468.0;44618.0;-44150.0;3;50;-47;156.0;3;48.0;2;0;0;0;0;1;0;0;2023
1378;743.0;0.0;743.0;32667.4;-31924.4;1;35;-34;743.0;3;35.0;1;0;0;0;0;1;0;0;2022
1378;948.58;0.0;948.58;743.0;205.58;4;1;3;237.15;3;36.0;2;0;0;0;0;1;0;0;2022
1485;8145.29;0.0;8145.29;22356.98;-14211.69;5;19;-14;1629.06;3;35.0;1;0;0;0;0;1;0;0;2022
1485;11844.54;0.0;11844.54;8145.29;3699.25;10;5;5;1184.45;3;36.0;2;0;0;0;0;1;0;0;2022
1485;3421.81;0.0;3421.81;11844.54;-8422.73;2;10;-8;1710.91;3;37.0;3;0;0;0;0;1;0;0;2022
1485;750.0;0.0;750.0;0.0;750.0;1;0;1;750.0;5;42.0;8;0;0;0;0;1;0;0;2022
1505;0.0;1774.94;1774.94;1778.76;-3.82;1;4;-3;1774.94;3;35.0;1;0;0;0;0;1;0;0;2022
1505;0.0;2393.24;2393.24;1774.94;618.3;3;1;2;797.75;3;36.0;2;0;0;0;0;1;0;0;2022
1505;0.0;755.9;755.9;2393.24;-1637.34;1;3;-2;755.9;3;37.0;3;0;0;0;0;1;0;0;2022
1505;0.0;8101.34;8101.34;755.9;7345.44;66;1;65;122.75;3;38.0;4;0;0;0;0;1;0;0;2022
