rec_est_id;rec_month_part;rec_year_part;rec_month_mf_antecipated;rec_month_mf_not_antecipated;rec_month_qtd_mov;rec_registered_month;emission_bill;linkou;linkou_pix;payment_bill_card;pos;pos_pix;tef;qtd_produtos;rec_monthly_category
301;8;2021;535.94;56151.75;264.0;17.0;0;0;0;0;1;0;0;1;3
311;2;2021;4035.6;2352.0;28.0;7.0;0;1;0;0;0;0;0;1;3
311;3;2021;4451.98;1176.0;17.0;8.0;0;0;0;0;1;0;0;1;3
326;3;2021;8879.99;0.0;8.0;30.0;0;0;0;0;1;0;0;1;3
326;4;2021;5519.99;0.0;5.0;31.0;0;0;0;0;1;0;0;1;3
326;7;2021;3859.2;0.0;7.0;34.0;0;0;0;0;1;0;0;1;5
326;8;2021;5879.2;0.0;8.0;35.0;0;0;0;0;1;0;0;1;3
326;9;2021;2630.0;0.0;3.0;36.0;0;0;0;0;1;0;0;1;3
326;10;2021;1378.9;0.0;4.0;37.0;0;0;0;0;1;0;0;1;3
326;11;2021;1706.9;0.0;4.0;38.0;0;0;0;0;1;0;0;1;3
326;12;2021;1636.0;0.0;2.0;39.0;0;0;0;0;1;0;0;1;3
331;3;2021;8055.049999999999;500.0;124.0;30.0;0;0;0;0;1;0;0;1;3
331;4;2021;6765.9;500.0;141.0;31.0;0;0;0;0;1;0;0;1;3
331;5;2021;8272.8;0.0;161.0;32.0;0;0;0;0;1;0;0;1;3
331;6;2021;8475.75;0.0;125.0;33.0;0;0;0;0;1;0;0;1;3
335;2;2021;193014.1;0.0;118.0;29.0;0;0;0;0;1;0;0;1;3
335;3;2021;201523.55;1150.0;115.0;30.0;0;0;0;0;1;0;0;1;3
335;3;2021;210033.0;2300.0;112.0;30.0;0;1;0;0;0;0;0;1;3
335;4;2021;157215.1;14245.0;106.0;31.0;0;0;0;0;1;0;0;1;3
335;4;2021;104397.2;26190.0;100.0;31.0;0;1;0;0;0;0;0;1;3
335;5;2021;103458.76000000001;13548.0;93.0;32.0;0;1;0;0;0;0;0;1;3
335;5;2021;102520.32;906.0;86.0;32.0;0;0;0;0;1;0;0;1;3
335;6;2021;107058.16;453.0;84.0;33.0;0;0;0;0;1;0;0;1;3
335;7;2021;60208.0;0.0;42.0;34.0;0;0;0;0;1;0;0;1;3
335;8;2021;6445.0;0.0;5.0;35.0;0;0;0;0;1;0;0;1;3
335;9;2021;2494.0;0.0;6.0;36.0;0;0;0;0;1;0;0;1;3
335;10;2021;2899.0;0.0;7.0;37.0;0;0;0;0;1;0;0;1;3
368;4;2021;12245.0;0.0;23.0;30.0;0;0;0;0;1;0;0;1;5
368;5;2021;12957.0;0.0;36.0;31.0;0;0;0;0;1;0;0;1;3
368;6;2021;17763.0;0.0;59.0;32.0;0;0;0;0;1;0;0;1;3
368;7;2021;34481.0;0.0;73.0;33.0;0;0;0;0;1;0;0;1;3
368;8;2021;43389.0;0.0;74.0;34.0;0;0;0;0;1;0;0;1;3
368;9;2021;37487.0;0.0;76.0;35.0;0;0;0;0;1;0;0;1;3
368;10;2021;31740.0;0.0;81.0;36.0;0;0;0;0;1;0;0;1;3
368;11;2021;24292.0;0.0;68.0;37.0;0;0;0;0;1;0;0;1;3
368;12;2021;21724.0;0.0;45.0;38.0;0;0;0;0;1;0;0;1;3
470;3;2021;7209.9;0.0;27.0;29.0;0;0;0;0;1;0;0;1;3
470;4;2021;4813.4;0.0;21.0;30.0;0;0;0;0;1;0;0;1;3
471;3;2021;28256.0;185.0;293.0;29.0;0;0;0;0;1;0;0;1;3
471;4;2021;37343.0;185.0;290.0;30.0;0;0;0;0;1;0;0;1;3
471;5;2021;39993.0;0.0;289.0;31.0;0;0;0;0;1;0;0;1;3
471;6;2021;42704.0;0.0;320.0;32.0;0;0;0;0;1;0;0;1;3
471;7;2021;38052.0;0.0;312.0;33.0;0;0;0;0;1;0;0;1;3
471;8;2021;23709.0;0.0;227.0;34.0;0;0;0;0;1;0;0;1;3
471;9;2021;11098.0;0.0;88.0;35.0;0;0;0;0;1;0;0;1;3
518;2;2022;15521.119999999999;0.0;75.0;40.0;0;0;0;0;1;0;0;1;3
