rec_est_id;rec_month_part;rec_year_part;rec_month_mf_antecipated;rec_month_mf_not_antecipated;rec_month_qtd_mov;rec_registered_month;emission_bill;linkou;linkou_pix;payment_bill_card;pos;pos_pix;tef;qtd_produtos;rec_monthly_category
282;2;2022;911.3;0.0;3;42.0;0;0;0;0;1;0;0;1;5
299;1;2022;11768.0;0.0;39;41.0;0;0;0;0;1;0;0;1;3
301;2;2021;0.0;29642.84;155;11.0;0;0;0;0;1;0;0;1;3
301;3;2021;6527.4;21380.09;137;12.0;0;0;0;0;1;0;0;1;3
301;3;2021;6527.4;21380.09;137;12.0;0;1;0;0;0;0;0;1;3
301;4;2021;863.0;46039.18;190;13.0;0;0;0;0;1;0;0;1;3
301;4;2021;863.0;46039.18;190;13.0;0;1;0;0;0;0;0;1;3
301;5;2021;676.0;43023.84;198;14.0;0;1;0;0;0;0;0;1;3
301;5;2021;676.0;43023.84;198;14.0;0;0;0;0;1;0;0;1;3
301;6;2021;0.0;31773.3;184;15.0;0;0;0;0;1;0;0;1;3
301;7;2021;535.94;44772.55;201;16.0;0;0;0;0;1;0;0;1;3
301;7;2021;535.94;44772.55;201;16.0;0;1;0;0;0;0;0;1;3
301;8;2021;0.0;11379.2;63;17.0;0;0;0;0;1;0;0;1;3
311;2;2021;2017.8;1176.0;14;7.0;0;0;0;0;1;0;0;1;3
311;2;2021;2017.8;1176.0;14;7.0;0;1;0;0;0;0;0;1;3
311;3;2021;2434.18;0.0;3;8.0;0;0;0;0;1;0;0;1;3
326;2;2021;3540.0;0.0;4;29.0;0;0;0;0;1;0;0;1;3
326;3;2021;5339.99;0.0;4;30.0;0;0;0;0;1;0;0;1;3
326;4;2021;180.0;0.0;1;31.0;0;0;0;0;1;0;0;1;3
326;7;2021;3679.2;0.0;6;34.0;0;0;0;0;1;0;0;1;5
326;8;2021;2200.0;0.0;2;35.0;0;0;0;0;1;0;0;1;3
326;9;2021;430.0;0.0;1;36.0;0;0;0;0;1;0;0;1;3
326;10;2021;948.9;0.0;3;37.0;0;0;0;0;1;0;0;1;3
326;11;2021;758.0;0.0;1;38.0;0;0;0;0;1;0;0;1;3
326;12;2021;878.0;0.0;1;39.0;0;0;0;0;1;0;0;1;3
331;2;2021;4032.2;0.0;54;29.0;0;0;0;0;1;0;0;1;3
331;3;2021;4022.85;500.0;70;30.0;0;0;0;0;1;0;0;1;3
331;4;2021;2743.05;0.0;71;31.0;0;0;0;0;1;0;0;1;3
331;5;2021;5529.75;0.0;90;32.0;0;0;0;0;1;0;0;1;3
