rec_est_id;rec_month_part;rec_year_part;rec_month_mf_antecipated;rec_month_mf_not_antecipated;rec_previous_month_mf_delta;rec_previous_month_qtd_mov_delta;rec_month_ticket_medio;rec_registered_month;emission_bill;linkou;linkou_pix;payment_bill_card;pos;pos_pix;tef;qtd_produtos;category_change;already_churn;churn_count;rec_monthly_category
1;1;2022;838.8;0.0;838.8;5;167.76;24.0;1;0;0;0;0;0;0;1;0.0;0;0;5
1;2;2022;7802.59;0.0;6963.79;88;83.9;25.0;1;0;0;0;0;0;0;1;-2.0;0;0;3
1;3;2022;2.0;0.0;-7800.59;-91;1.0;26.0;0;0;1;0;0;0;0;1;0.0;0;0;3
1;4;2022;0.0;1000.0;998.0;-1;1000.0;27.0;0;0;0;0;1;0;0;1;0.0;0;0;3
1;5;2022;0.0;1165.74;165.74;1;582.87;28.0;0;1;0;0;0;0;1;2;0.0;0;0;3
1;6;2022;0.0;10.56;-1155.18;-1;10.56;29.0;0;0;0;0;0;0;1;1;0.0;0;0;3
1;7;2022;0.0;0.0;-10.56;-1;0.0;30.0;0;0;0;0;0;0;1;1;1.0;0;0;4
1;12;2022;2964.88;114324.66;106087.27;3;8377.82;35.0;1;1;0;0;0;0;0;2;-1.0;0;0;3
1;1;2023;1082.19;0.0;-116207.35;-13;1082.19;36.0;1;0;0;0;0;0;0;1;0.0;0;0;3
1;2;2023;0.0;0.0;-1082.19;-1;0.0;37.0;0;1;1;0;0;0;0;2;1.0;0;0;4
49;1;2022;666.1;0.0;666.1;12;55.51;45.0;0;0;0;0;1;0;0;1;0.0;0;0;5
49;2;2022;187.0;0.0;-479.1;-10;93.5;46.0;0;0;0;0;1;0;0;1;-2.0;0;0;3
49;5;2022;2.6;0.0;2.6;1;2.6;49.0;0;0;0;0;1;0;0;1;2.0;0;0;5
49;1;2023;99.0;0.0;99.0;1;99.0;57.0;0;0;0;0;1;0;0;1;0.0;0;0;5
109;2;2023;0.0;0.0;0.0;0;0.0;55.0;0;0;1;0;0;0;0;1;0.0;1;1;2
113;1;2022;6937.2;0.0;1356.7;-5;97.71;42.0;0;0;0;0;1;0;0;1;0.0;0;0;3
113;2;2022;11971.91;0.0;5034.71;42;105.95;43.0;0;0;0;0;1;0;0;1;0.0;0;0;3
113;3;2022;8202.1;0.0;-3769.81;1;71.95;44.0;0;0;0;0;1;0;0;1;0.0;0;0;3
113;4;2022;7703.7;0.0;-498.4;-20;81.95;45.0;0;0;0;0;1;0;0;1;0.0;0;0;3
113;5;2022;15324.4;0.0;7620.7;26;127.7;46.0;0;0;0;0;1;0;0;1;0.0;0;0;3
113;6;2022;16683.1;0.0;1358.7;0;139.03;47.0;0;0;0;0;1;0;0;1;0.0;0;0;3
113;7;2022;14557.6;0.0;-2125.5;-30;161.75;48.0;0;0;0;0;1;0;0;1;0.0;0;0;3
113;8;2022;14159.3;0.0;-398.3;-2;160.9;49.0;0;0;0;0;1;0;0;1;0.0;0;0;3
113;9;2022;7896.1;0.0;-6263.2;-12;103.9;50.0;0;0;0;0;1;0;0;1;0.0;0;0;3
113;10;2022;8781.8;0.0;885.7;-10;133.06;51.0;0;0;0;0;1;0;0;1;0.0;0;0;3
113;11;2022;6094.09;0.0;-2687.71;-5;99.9;52.0;0;0;0;0;1;0;0;1;0.0;0;0;3
113;12;2022;11371.9;0.0;5277.81;24;133.79;53.0;0;0;0;0;1;0;0;1;0.0;0;0;3
113;1;2023;16915.42;0.0;5543.52;37;138.65;54.0;0;0;0;0;1;0;0;1;0.0;0;0;3
113;2;2023;1173.2;0.0;-15742.22;-113;130.36;55.0;0;0;0;0;1;0;0;1;0.0;0;0;3
115;1;2022;7511.4;0.0;-6523.5;-79;81.65;42.0;0;0;0;0;1;0;0;1;0.0;0;0;3
115;2;2022;6213.6;0.0;-1297.8;5;64.06;43.0;0;0;0;0;1;0;0;1;0.0;0;0;3
115;3;2022;9086.5;0.0;2872.9;45;63.99;44.0;0;0;0;0;1;0;0;1;0.0;0;0;3
115;4;2022;4614.5;0.0;-4472.0;-57;54.29;45.0;0;0;0;0;1;0;0;1;0.0;0;0;3
120;1;2022;13746.05;0.0;-54036.65;-466;119.53;42.0;0;0;0;0;1;0;0;1;0.0;0;0;3
120;2;2022;11121.9;0.0;-2624.15;2;95.06;43.0;0;0;0;0;1;0;0;1;0.0;0;0;3
120;3;2022;9672.1;0.0;-1449.8;-18;97.7;44.0;0;0;0;0;1;0;0;1;0.0;0;0;3
120;4;2022;5296.4;0.0;-4375.7;-38;86.83;45.0;0;0;0;0;1;0;0;1;0.0;0;0;3
120;5;2022;7162.5;0.0;1866.1;23;85.27;46.0;0;0;0;0;1;0;0;1;0.0;0;0;3
120;6;2022;9646.7;0.0;2484.2;-10;130.36;47.0;0;0;0;0;1;0;0;1;0.0;0;0;3
120;7;2022;9544.5;0.0;-102.2;7;117.83;48.0;0;0;0;0;1;0;0;1;0.0;0;0;3
120;8;2022;9777.75;0.0;233.25;16;100.8;49.0;0;0;0;0;1;0;0;1;0.0;0;0;3
120;9;2022;5613.96;0.0;-4163.79;-28;81.36;50.0;0;0;0;0;1;0;0;1;0.0;0;0;3
120;10;2022;4949.02;0.0;-664.94;-14;89.98;51.0;0;0;0;0;1;0;0;1;0.0;0;0;3
120;11;2022;2035.8;0.0;-2913.22;-35;101.79;52.0;0;0;0;0;1;0;0;1;0.0;0;0;3
121;1;2022;10681.0;0.0;-1143.4;-3;127.15;26.0;0;0;0;0;1;0;0;1;0.0;0;0;3
204;2;2021;921.0;0.0;111.0;2;230.25;30.0;0;0;0;0;1;0;0;1;0.0;0;0;3
204;3;2021;550.8;0.0;-370.2;-2;275.4;31.0;0;0;0;0;1;0;0;1;0.0;0;0;3
275;1;2022;3596.0;0.0;-6069.0;-15;326.91;41.0;0;0;0;0;1;0;0;1;0.0;0;0;3
275;2;2022;4857.5;0.0;1261.5;4;323.83;42.0;0;0;0;0;1;0;0;1;0.0;0;0;3
276;1;2022;25670.0;0.0;-43619.0;-40;1116.09;41.0;0;0;0;0;1;0;0;1;0.0;0;0;3
276;2;2022;22709.0;0.0;-2961.0;4;841.07;42.0;0;0;0;0;1;0;0;1;0.0;0;0;3
276;3;2022;30392.0;0.0;7683.0;3;1013.07;43.0;0;0;0;0;1;0;0;1;0.0;0;0;3
276;4;2022;54452.0;1050.0;25110.0;22;1067.35;44.0;0;1;0;0;1;0;0;2;0.0;0;0;3
276;5;2022;61988.0;0.0;6486.0;0;1192.08;45.0;0;0;0;0;1;0;0;1;0.0;0;0;3
276;6;2022;47660.0;0.0;-14328.0;-24;1702.14;46.0;0;0;0;0;1;0;0;1;0.0;0;0;3
276;7;2022;61710.0;0.0;14050.0;18;1341.52;47.0;0;0;0;0;1;0;0;1;0.0;0;0;3
276;8;2022;70485.0;0.0;8775.0;0;1532.28;48.0;0;0;0;0;1;0;0;1;0.0;0;0;3
276;9;2022;40070.0;0.0;-30415.0;-16;1335.67;49.0;0;0;0;0;1;0;0;1;0.0;0;0;3
276;10;2022;44730.0;0.0;4660.0;3;1355.45;50.0;0;0;0;0;1;0;0;1;0.0;0;0;3
276;11;2022;76376.0;0.0;31646.0;23;1363.86;51.0;0;0;0;0;1;0;0;1;0.0;0;0;3
276;12;2022;84572.0;0.0;8196.0;8;1321.44;52.0;0;0;0;0;1;0;0;1;0.0;0;0;3
276;1;2023;28990.0;0.0;-55582.0;-39;1159.6;53.0;0;0;0;0;1;0;0;1;0.0;0;0;3
276;2;2023;3040.0;0.0;-25950.0;-22;1013.33;54.0;0;0;0;0;1;0;0;1;0.0;0;0;3
280;3;2021;900.0;0.0;900.0;4;225.0;31.0;0;0;0;0;1;0;0;1;0.0;0;0;5
